time	V(vout)
Step Information: X=100n Y=1K  (Run: 1/6)
1.224356961101984e-003	8.941063e-001
1.236075711101983e-003	9.058170e-001
1.247794461101983e-003	9.162326e-001
1.259513211101983e-003	9.254963e-001
1.271231961101982e-003	9.337356e-001
1.282950711101982e-003	9.410638e-001
1.294669461101981e-003	9.475815e-001
1.306388211101981e-003	9.533784e-001
1.318106961101980e-003	9.585342e-001
1.329825711101980e-003	9.631199e-001
1.341544461101980e-003	9.671984e-001
1.353263211101979e-003	9.708259e-001
1.364981961101979e-003	9.740523e-001
1.376700711101978e-003	9.769218e-001
1.388419461101978e-003	9.794739e-001
1.400138211101978e-003	9.817439e-001
1.411856961101977e-003	9.837629e-001
1.423575711101977e-003	9.855585e-001
1.435294461101976e-003	9.871556e-001
1.447013211101976e-003	9.885761e-001
1.458731961101975e-003	9.898394e-001
1.473380398601975e-003	9.912240e-001
1.488028836101974e-003	9.924199e-001
1.501000000000000e-003	9.933435e-001
1.501600000000000e-003	9.912394e-001
1.502000000000000e-003	9.883777e-001
1.515869062499997e-003	8.605580e-001
1.527587812499997e-003	7.653897e-001
1.539306562499996e-003	6.807461e-001
1.551025312499996e-003	6.054630e-001
1.562744062499995e-003	5.385054e-001
1.574462812499995e-003	4.789526e-001
1.586181562499995e-003	4.259857e-001
1.597900312499994e-003	3.788764e-001
1.609619062499994e-003	3.369768e-001
1.621337812499993e-003	2.997108e-001
1.633056562499993e-003	2.665661e-001
1.644775312499993e-003	2.370868e-001
1.656494062499992e-003	2.108676e-001
1.668212812499992e-003	1.875480e-001
1.679931562499991e-003	1.668072e-001
1.691650312499991e-003	1.483602e-001
1.703369062499990e-003	1.319532e-001
1.715087812499990e-003	1.173606e-001
1.726806562499990e-003	1.043818e-001
1.738525312499989e-003	9.283830e-002
1.750244062499989e-003	8.257140e-002
1.761962812499988e-003	7.343991e-002
1.773681562499988e-003	6.531826e-002
1.785400312499987e-003	5.809478e-002
1.797119062499987e-003	5.167013e-002
1.808837812499987e-003	4.595598e-002
1.820556562499986e-003	4.087375e-002
1.832275312499986e-003	3.635356e-002
1.843994062499985e-003	3.233325e-002
1.855712812499985e-003	2.875755e-002
1.867431562499984e-003	2.557728e-002
1.879150312499984e-003	2.274872e-002
1.890869062499984e-003	2.023296e-002
1.902587812499983e-003	1.799541e-002
1.914306562499983e-003	1.600532e-002
1.926025312499982e-003	1.423531e-002
1.937744062499982e-003	1.266104e-002
1.949462812499982e-003	1.126087e-002
1.961181562499982e-003	1.001554e-002
1.975829999999982e-003	8.650721e-003
1.990478437499983e-003	7.471889e-003
2.000000000000000e-003	6.791780e-003
2.000151687499858e-003	6.960256e-003
2.000353937499668e-003	7.560210e-003
2.000660023042691e-003	9.191267e-003
2.001000000000000e-003	1.171959e-002
2.002053928567658e-003	2.206619e-002
2.003141854831048e-003	3.260516e-002
2.005317707357826e-003	5.333313e-002
2.008247394857826e-003	8.061580e-002
2.011177082357826e-003	1.071620e-001
2.014106769857826e-003	1.329418e-001
2.019966144857827e-003	1.822896e-001
2.025825519857827e-003	2.288289e-001
2.034614582357827e-003	2.937189e-001
2.043403644857827e-003	3.531487e-001
2.052192707357828e-003	4.075778e-001
2.063911457357828e-003	4.730932e-001
2.075630207357829e-003	5.313633e-001
2.087348957357829e-003	5.831894e-001
2.099067707357830e-003	6.292841e-001
2.110786457357830e-003	6.702812e-001
2.122505207357830e-003	7.067445e-001
